route_id,route_short_name,route_long_name,route_type,agency_id
Route_1,Aluva MS-CIAL,Aluva Metro Station- Cochin International Airport Limited,3,KMRL
Route_1,CIAL-Aluva MS,Cochin International Airport Limited- Aluva Metro Station,3,KMRL
